100000 100000
0 59715 29050
2 3524 82435
2 93569 8383
1 49845 55316
0 77197 4438
0 27358 45320
2 71482 89195
1 415 27216
0 69330 1143
1 94269 60709
2 1253 78004
0 73259 40210
2 60884 49845
2 50441 33585
1 41857 96612
2 83435 78517
0 79062 60703
0 67811 75274
1 55024 22988
0 42383 6346
1 70080 94617
0 4500 97212
1 88087 95414
1 77747 50206
2 30655 9363
1 89506 54935
0 18287 55036
2 89359 60076
2 46749 79172
2 58086 67064
0 8597 94670
2 89600 39545
1 42281 93768
1 3039 37331
1 52556 58146
0 13795 1648
1 97088 22259
2 86208 12226
1 18030 91454
2 21070 51904
1 48218 72968
0 27786 39837
0 7392 79671
2 79319 73623
0 77015 82272
1 53769 65206
1 58795 91596
1 80251 74886
0 61275 4382
1 19488 80135
0 60494 47135
2 51595 18999
1 41594 42652
2 14829 13695
2 92041 44983
0 96547 19804
0 51372 82423
0 35513 27462
2 9507 47
2 28247 74346
0 42358 94339
2 77716 59113
0 39175 33608
1 25341 43004
0 92277 11605
1 70237 59583
2 20171 43082
1 5756 33885
2 29002 25575
1 90503 60646
1 5431 1594
2 58160 25440
0 95627 9874
0 60690 68333
0 92219 94264
2 69814 60547
2 98360 21348
1 50085 23785
1 54454 73860
2 39922 35452
1 26797 20976
1 86013 52860
2 76193 33233
0 4956 42972
0 7568 75353
1 55960 48547
2 98212 14289
0 85879 17985
2 50447 94269
0 51520 55389
2 3299 48239
0 92293 46258
0 90678 98416
0 99334 34104
2 28073 45821
1 53553 42226
1 92957 87582
2 48699 23077
1 16177 65055
0 19677 98162
0 86917 70969
1 7607 43163
1 80627 23263
0 98184 39085
0 73972 93456
2 99207 19680
0 96391 60439
1 93951 75380
0 42389 89150
2 1971 46372
2 59819 62311
2 44213 11934
0 67273 31403
1 68775 19105
1 71723 14698
0 66991 12717
2 72349 10312
1 43199 90308
0 84595 39412
2 5398 18215
2 58268 50288
2 47874 40425
2 33920 74013
2 27997 29701
0 79904 22492
1 9193 6673
2 75513 58189
0 46739 93489
0 22668 49231
1 16712 51264
0 20196 59768
1 46294 75866
0 73092 78532
0 20497 77823
2 18652 93974
0 29486 83908
1 49390 87180
0 98167 86091
0 75456 43078
2 8613 90309
2 80396 32260
0 76717 20758
1 3259 3201
2 30981 41406
1 48618 62186
2 58978 9820
1 58870 98118
1 86123 5714
0 636 91668
2 26695 65296
0 30806 66379
1 19515 54053
0 97174 44738
0 94451 24422
0 54486 23712
1 14905 41312
2 45616 72056
2 56863 7605
2 69359 21344
2 67512 80062
2 61009 72709
1 39425 60650
2 54722 11440
2 62864 76124
1 34014 41896
1 76851 88086
2 56411 56657
2 23728 18394
1 50638 97948
0 90143 69482
2 45264 30920
0 50639 29463
0 49502 38124
2 50715 37742
0 28971 29228
0 71075 55453
2 71071 21894
1 21889 86487
2 94685 15792
0 2698 76629
2 39817 42411
0 81716 47591
0 43020 21960
1 93590 18488
1 80929 6543
2 99208 49388
0 41122 62876
0 1793 50552
0 33380 93384
2 2908 10143
0 52759 76536
2 23956 31551
2 37438 18209
0 49283 34452
0 71603 63165
0 93499 32788
1 81469 88934
1 31760 63655
1 94259 55946
2 20496 25420
2 43190 92739
1 29139 78779
1 46017 85687
1 8245 85773
0 81124 10759
2 84537 68531
0 26459 64274
2 31483 76446
0 32125 77919
1 14388 54153
2 19495 96915
0 65356 23106
2 50420 58260
2 17211 15227
1 54082 30344
1 11661 74703
2 13788 91203
0 47024 10304
1 42801 37805
0 13751 88008
2 25352 6510
1 90107 62487
1 48642 6805
0 24731 13435
2 87124 97787
0 71307 9603
1 60768 91813
2 4942 51182
1 6696 55258
2 85281 41352
2 32803 56034
2 41359 8018
2 20117 56671
2 82553 2171
0 83922 3028
0 77441 69997
0 36183 96703
0 11028 73165
0 82057 1016
1 90340 4229
0 49500 68820
1 12517 32364
2 36760 95707
2 88954 48253
1 79908 84549
2 90685 87747
1 21457 91293
2 66045 18260
2 54380 56699
1 3047 79091
0 41889 93453
1 30315 5085
1 39351 84629
0 58805 35990
2 42350 39358
1 35819 56703
1 4721 53556
1 91678 87420
1 86927 58320
1 44199 28983
2 33912 87294
2 20574 33999
0 46317 54271
0 26591 98487
2 72234 23047
0 81456 15660
0 45246 88703
0 40941 92388
0 25491 75698
1 5951 82361
2 50558 95603
2 20206 57338
0 40168 32495
2 13062 4378
0 90816 36604
1 28782 2302
1 13794 6340
2 76737 115
1 8789 21613
2 73590 81463
1 5281 30440
2 47088 14542
2 19697 77622
1 12649 58009
2 15241 67613
2 81260 76520
1 31964 179
2 95071 1133
0 19519 34169
2 81518 62237
0 32980 6758
2 11154 88619
2 78980 60176
0 21870 90498
1 67399 59588
1 85676 38964
1 68228 99948
1 23616 78548
0 52798 72806
2 39640 65788
2 89617 10987
0 41979 83463
2 57824 12543
2 96187 79545
1 9821 25520
1 4327 49934
2 36364 67759
1 36027 97653
0 73636 51838
1 8755 48033
2 31059 82870
1 91856 81134
1 24625 56463
2 59502 85538
1 40688 53986
1 36811 23940
0 65137 65758
1 19168 57519
2 26325 93331
0 55862 39351
0 20422 76600
0 38869 26523
2 76258 80170
0 69586 58882
0 61347 34209
0 26794 32354
1 23361 52151
0 82216 46418
1 6187 94454
0 6610 22408
0 48125 68110
0 92884 22578
0 67833 35105
0 41851 40216
1 68419 72375
0 19118 1419
0 12363 64734
0 78505 97067
0 56279 11631
1 84103 55334
0 88103 658
1 32485 58618
1 19764 83431
1 7733 42579
2 2778 70199
1 52073 27446
0 69114 37023
1 55421 18805
2 23254 59988
2 92074 45873
0 33868 76546
2 72357 19135
2 9709 73823
1 10396 32129
1 70057 4147
1 69602 2956
0 17157 40473
1 22251 32862
1 5174 54744
1 49118 91957
0 51194 48570
0 75663 33813
1 62735 30487
1 16787 78778
2 71146 14086
2 83760 51410
1 79279 28629
2 72879 1079
2 89852 26814
0 54806 91161
0 95920 14092
2 39146 29462
2 72313 62895
2 3709 18793
2 59635 70382
0 67894 61956
1 63911 50243
0 70721 94966
1 91237 47330
1 34833 86504
2 29309 22899
2 45598 92174
2 27782 60573
2 93266 31157
0 77153 15992
2 34506 40223
0 10949 25706
1 21351 79300
1 15760 61240
2 29256 85940
1 73932 75124
0 46278 40976
1 94097 94895
1 9560 35473
0 76819 45238
2 94043 46293
2 17329 7047
0 38912 66506
1 6315 7280
2 17634 81705
1 10771 37022
1 91750 87135
1 80088 30055
2 77240 97756
2 97998 12147
1 45899 47628
2 57159 37316
0 63417 3295
2 10847 38317
0 93449 20372
1 3684 42387
2 30173 23185
2 13662 82795
0 54802 87144
0 30844 71159
2 47255 26347
2 6965 26058
1 42975 3979
1 1603 21179
0 13019 89520
1 96402 34265
2 73756 9756
1 48627 84153
0 95626 79145
2 78917 46005
0 31036 35924
1 29670 61160
1 89368 33680
0 54962 18477
1 8897 54242
0 48264 60762
0 20964 39663
2 79525 96775
2 24983 6010
2 43390 91762
0 84699 35052
1 98620 86301
1 89004 96793
2 41698 80771
1 56200 91843
2 59665 68282
0 2609 56946
1 5604 26478
2 85354 26299
1 98748 34838
0 8253 84910
2 63015 41885
2 13254 66850
1 69207 16698
1 87933 35606
0 38469 25958
0 97209 53944
0 7523 70352
1 23762 92750
1 96637 14650
2 48970 18232
2 32517 28783
1 64480 89513
2 49504 34854
1 24206 29206
2 63957 51379
0 49510 70385
0 81391 33806
1 97224 38404
2 9432 16418
2 22108 53474
0 14271 14233
2 35809 6648
2 63322 8246
0 26998 73970
1 1834 44745
2 27080 65429
0 36116 25437
1 40117 83173
2 77975 81645
0 91991 60876
1 88484 5675
2 26847 1484
